filename,timestep,bytes,sha256
cfg.Al_100_010.1000000,1000000,2252175,b2eb96882e8453f056b6df6ac023a1458402ea597ebf7b7d55181581bc675707
cfg.Al_100_010.1000500,1000500,2251813,a9caf10d9c11975cebcb5c059fe868fe71886a1ed548c0a7ee8e1041b238a58a
cfg.Al_100_010.1001000,1001000,2252001,ad255957ebfa47634aedbc85834f46a74164863f8e4de0f4bcee534387b8e71c
cfg.Al_100_010.1001500,1001500,2251943,73673d4781ac1ea369247124f33826d1d89f3002c588671e59f06a2655ad3dd5
cfg.Al_100_010.1002000,1002000,2251904,7d4390c2b339f9f969802b7b052c2c6fa2ef5974d134d9fe07136c2616b7550f
cfg.Al_100_010.1002500,1002500,2251904,bb9cc66289ca058e938fbf075a315e8a2b2b92f3bb443ac0e3a68b56dc93aab5
cfg.Al_100_010.1003000,1003000,2251912,6c66ea98f23cf8dd169680ce71e8f0735617f4680808b57b6a1e5795b3ae8034
cfg.Al_100_010.1003500,1003500,2251793,53a97aeee72ea95056390aa1eb61e14ed5fb929c9ceee65ec46842e80fc52e16
cfg.Al_100_010.1004000,1004000,2251739,09b6e19aaba985b892a0e06877cfb6df2abbcf813c6fb6cf262e4c64df03cc73
cfg.Al_100_010.1004500,1004500,2252044,20898132e68e3d66a9d409c8412f259fef794b5a8a24723c4f0c72cc3d8515c8
cfg.Al_100_010.1005000,1005000,2251733,4e42cbf36b339f6157d9630cc782afdf94d6f9e228964d40fb035367cdad8b28
cfg.Al_100_010.1005500,1005500,2251688,ff8b17ff6215d9e7e0da031a92a18a4e837de49648dc321daa1eb85b813c76d4
cfg.Al_100_010.1006000,1006000,2251418,37636f2e16c6f2eb96416470c09a3e2efb1fa72c230fb1b869fe34c8355e1452
cfg.Al_100_010.1006500,1006500,2251787,9af11f242c065a4eb9a6968c7be82f8dd6d3d41e720c813e6746e88941ac3096
cfg.Al_100_010.1007000,1007000,2251105,9b95ff3273da8efaa864688d671e28113a9cf318c5f9f9eff295a483b1349471
cfg.Al_100_010.1007500,1007500,2251834,ccfa88f2834f6d30ff38ba39d9149d71788b07636245680487d4d0a9d14fff81
cfg.Al_100_010.1008000,1008000,2251492,ddef3ee128b821e9d99157229d915c8c3d19112287987d7d276879dfdc44556d
cfg.Al_100_010.1008500,1008500,2251822,a65b2c320b7daa4aa6eb9fce052aa0842308ecc6fd9b98b83015417f896fd2da
cfg.Al_100_010.1009000,1009000,2252067,87b6f7ee264b55391524f350fddbc626747c875eb0034e025739046ccc0ffa7d
cfg.Al_100_010.1009500,1009500,2252262,80fe9e4f91a036a43ae6ceb9ece9dfb4d257abe8d491b521e23fd06b20a2e026
